Name,Description,Founded,BizModel,Employees,Stage,Raised,Sectors
"2 Drops","Freelance Translation Marketplace","2015","B2B2C, B2C","1-10","Revenue Financed","Undisclosed","Consumers Professionals & Gig Economy Web eCommerce & Sales Retail & Marketing Platforms & Interfaces Software Content & Media EdTech Online Platform & Carts +N Close"
"24me","Next-generation Personal Assistant","2012","B2C","1-10","Seed","Undisclosed","Consumers Content Management System Content & Media Media & Entertainment Tech +N Close"
"270Surgical","Specialty Laparoscopic System for Wide Cavity Visualization","2016","B2B, B2C","11-50","B","Undisclosed","Healthcare & Life Sciences Software Medical Devices Diagnostics Healthcare Providers Platforms & Interfaces Life Sciences & HealthTech +N Close"
"282Productions Non-Active","Game Development Studio","2011","B2B, B2C","1-10","Revenue Financed","Undisclosed","Gaming Augmented Reality Media & Entertainment Tech Simulation & Imaging Content Production Virtual Reality Recreational & Lifestyle Advertising Enterprise & Professional Services Mobile Gaming Consumers Platforms & Interfaces Gaming Marketing & Sales Media & Entertainment Mobile Software Gamers Content & Media Web +N Close"
"2bPrecise","Precision Medicine Solution","2015","B2B","51-200","Revenue Financed","Undisclosed","Artificial Intelligence Data Storage Platforms & Interfaces Machine Learning Healthcare Cloud Healthcare & Life Sciences Providers Life Sciences & HealthTech Software Digital Health Patients Decision Support +N Close"
"2breathe Technologies","Smart Device and Mobile App to Induce Sleep","2014","B2C","1-10","Revenue Financed","Undisclosed","Sensing Healthcare & Life Sciences Digital Therapeutics Digital Health Patients Consumers Life Sciences & HealthTech Healthcare +N Close"
"2Care Non-Active","AI-based Caregiver Monitoring Solution","2019","B2B, B2C","1-10","Bootstrapped","Undisclosed","Security Technologies Emergency Response Consumers Personal Protection Providers Healthcare & Life Sciences Pre-Kindergarten Artificial Intelligence Healthcare Seniors Surveillance Education Detection Systems Children Demographics & Family +N Close"
"2Find Non-Active","Tracker for Child Safety","2016","B2C","1-10","Bootstrapped","Undisclosed","Parents Consumers Semiconductors & Electronics Demographics & Family Personal Protection Radio Frequency Children Security Technologies Wireless Bluetooth Babies Communications Emergency Response Wearables +N Close"
"2P2D Solutions Non-Active","Automated Drug Monitoring","2007","B2B, B2B2C","1-10","Seed","Undisclosed","Pharmaceuticals Software Healthcare Life Sciences Digital Health Platforms & Interfaces Patient Engagement Healthcare & Life Sciences Life Sciences & HealthTech Providers +N Close"
"2Sens Non-Active","Virtual-reality Technology for Smartphones","2016","B2B, B2C","1-10","Seed","Undisclosed","Consumer Electronics Electro-optics Gaming Electronic Manufacturing & Semiconductors Media & Entertainment Mobile Devices Communication Services Consumer Goods Wireless & Mobile Virtual World Industrial Technologies Semiconductors & Electronics Commerce & Retail Digital Signal Processor +N Close"
"2Tangos Non-Active","Trade Your Knowledge!","2012","","1-10","","Undisclosed","Content & Media Social Networks Demographics & Family Platforms & Interfaces Media & Entertainment Tech Consumers Mobile +N Close"
"2TeaM Acquired","Software Solutions for Financial Companies","2017","B2B, B2B2C","11-50","Established","Undisclosed","Customer Service, Success, Experience Financial Services Web eCommerce & Sales Retail & Marketing Software Insurance Enterprise & Professional Services Platforms & Interfaces Banks Financial Institutions Sales Automation, Enablement & Intelligence Financial Products +N Close"
"2Track Non-Active","Ad Solution for Mobile Apps","2012","B2B","1-10","Seed","Undisclosed","Retail & Marketing Artificial Intelligence Advertising Advertising Tech Machine Learning Mobile Advertising Enterprise & Professional Services Mobile Marketing & Sales Platforms & Interfaces Customer Service, Success, Experience eCommerce & Sales +N Close"
"360in1 Non-Active","Spherical Vision Sensor Systems","2010","B2B, B2G","11-50","Revenue Financed","Undisclosed","Detection Systems Security Safety Defense, Safety & Security Sensing Surveillance Security Technologies +N Close"
"3chron","Video Conferencing","2021","B2B, B2C","1-10","Pre-Seed","Undisclosed","SMBs & SMEs Enterprise, IT & Data Infrastructure Artificial Intelligence Enterprises Image Recognition Business Process Management Conferencing & Communication Tools Consumers Enterprise & Professional Services +N Close"
"3D Green Non-Active","Recycling PET Bottles as the Source Material for 3D Printing","2020","B2B, B2B2C, B2C","1-10","Bootstrapped","Undisclosed","3D Printing & Additive Manufacturing Machinery & Robotics Energy, Utilities & Waste Management Waste Treatment, Environmental Services & Recycling Industrial Manufacturing Materials Printing & Molding Industrial Technologies +N Close"
"3D MTP Non-Active","Software for 3D Printing of CAD Models","2007","B2B","11-50","Revenue Financed","Undisclosed","Productivity Tools Enterprises Animation Enterprise & Professional Services Business Automation Optimization Data Architecture Enterprise, IT & Data Infrastructure Multimedia & Graphic Design Business Process Management Software Platforms & Interfaces Data Virtualization +N Close"
"3d Signals","Real-time Production Floor Performance Monitoring","2015","B2B","51-200","A","$40.56M","Software Communications Industrial Technologies Data Visualization & Dashboards Operation Optimization Platforms & Interfaces Industrial Manufacturing Industrial Maintenance IOT Manufacturing Facilities Data Analysis & Decision Support Business Intelligence Platforms Industry 4.0 Enterprise, IT & Data Infrastructure +N Close"
"3D SIL","3D Printing Platform","2020","B2B","1-10","Seed","Undisclosed","Printing & Molding Platforms & Interfaces Healthcare & Life Sciences Medical Products Medical Devices Machinery & Robotics 3D Printing & Additive Manufacturing Industrial Technologies Medical Equipment Materials Software +N Close"
"3D-pAinter Non-Active","Inkjet Printing Technology","2018","B2B","1-10","Bootstrapped","Undisclosed","Industrial Technologies Machinery & Robotics Industrial Manufacturing Discrete Industries 3D Printing & Additive Manufacturing Printing Printing & Molding Materials +N Close"
"3D3R Software Studio Non-Active","Software Development","2007","B2B","1-10","Revenue Financed","Undisclosed","Enterprises Product Development Tools Enterprise, IT & Data Infrastructure Business Process Management Software Enterprise & Professional Services Platforms & Interfaces +N Close"
"3DBattery","Solid Cell Technology for Rechargeable Microbatteries","2017","B2B, B2C","11-50","Seed","$3.95M","Medical Devices Discrete Industries Healthcare & Life Sciences Consumer Electronics Consumer Goods Commerce & Retail Silicon Automotive Energy, Utilities & Waste Management Nanomaterials Industrial Manufacturing Polymers Energy-tech Energy Storage Energy Storage Utilities Electricity Materials & Substances Smart Mobility Batteries Electrification & Energy +N Close"
"3DCOM","Automation Technology for the Real Estate Industry","2020","B2C","1-10","Bootstrapped","Undisclosed","Simulation & Imaging Property Buyer Real Estate Tech Web Virtual Reality Tenants & Landlords Architecture & Interior Design Private Investors FinTech Financial & Real Estate +N Close"
"3DentaX Non-Active","3D X-ray Images of the Jawbone","2016","B2B","1-10","Bootstrapped","Undisclosed","Medical Devices Healthcare Providers Healthcare & Life Sciences Diagnostics Simulation & Imaging Life Sciences & HealthTech +N Close"
"3Dfy.ai","AI-based Platform for Creating High-quality 3D Models","2019","B2B","1-10","Seed","Undisclosed","Cloud Deep Learning Consumers Media & Entertainment Software Data Storage Online Retailers Gaming Enterprise, IT & Data Infrastructure Artificial Intelligence Platforms & Interfaces Business Process Management Professionals & Gig Economy ITAsset Management +N Close"
"3DM Digital Manufacturing Public","High-speed Laser Sintering 3D Printing Technology","2016","B2B","1-10","Public","$1M","Industrial Technologies Sensing Laser Materials Industrial Manufacturing Manufacturing Facilities Printing & Molding Industry 4.0 +N Close"
"3Dome Non-Active","Converting Pictures of our Dears into 3D Figurines","2014","B2C","1-10","","Undisclosed","Productivity Tools Media Business Process Management Consumers Enterprise, IT & Data Infrastructure Content Sharing Social Networks Demographics & Family Content & Media Media & Entertainment Media & Entertainment Tech +N Close"
"3DOptix","Virtual Cage System for the Optomechanics Industry","2017","B2B","1-10","Bootstrapped","Undisclosed","Students Business Automation Optimization Education & Academia Business Process Management Professionals & Gig Economy Product Development Tools Platforms & Interfaces Productivity Tools Consumers Researchers Software Sensing Optic Machinery & Robotics Enterprise, IT & Data Infrastructure 3D Printing & Additive Manufacturing Teachers +N Close"
"3Dsellers","eCommerce Management","2009","B2B, B2B2C, B2C","1-10","Revenue Financed","Undisclosed","Web Online Retailers Commerce & Retail eCommerce Platforms Retail & Marketing Distribution Channels Platforms & Interfaces Sales Automation, Enablement & Intelligence eCommerce & Sales Consumers Professionals & Gig Economy +N Close"
"3DSHOOK","Online Store for 3D Printing Models","2014","B2B, B2C","1-10","Seed","$650K","eCommerce & Sales Discrete Industries Online Platform & Carts Industrial Manufacturing Consumer Goods Commerce & Retail Printing Retail & Marketing Platforms & Interfaces Web Jewelry +N Close"
"3GSolar Photovoltaics","Energy Solution for Wireless and IoT Devices","2010","B2B","1-10","A","$12.75M","Discrete Industries Energy Storage Solar Energy Communications Residential Wearables Commercial Real Estate & Construction Renewable Energy Sources Energy-tech Semiconductors & Electronics Aerospace Industrial Manufacturing IOT Management Agriculture & Food +N Close"
"3lawgy Non-Active","Online Legal Marketplace","2016","B2B, B2C","11-50","Bootstrapped","Undisclosed","Financial Services Investment & Portfolio Management Legal Research & Knowledge Discovery Enterprise & Professional Services Platforms & Interfaces Legal Operations Information & Document Management Knowledge Management Documents Generation & Management Legal Practice Management Enterprise, IT & Data Infrastructure Legal Services +N Close"
"3MinPro Non-Active","Video Courses in Negotiation Training","2016","B2B, B2C","1-10","Bootstrapped","Undisclosed","Training Content & Media Enterprise & Professional Services Human Resource & Employment Services HR-tech Talent Development & Training Software Learning Content & Resources EdTech Platforms & Interfaces Enterprise, IT & Data Infrastructure +N Close"
"3NT Medical","Single-use Steerable Endoscope for Sinus Surgery","2013","B2B","11-50","C+","$20.5M","Healthcare Providers Medical Devices Healthcare & Life Sciences Life Sciences & HealthTech Treatment & Therapeutics Diagnostics +N Close"
"3PEMS Non-Active","3D Printed Electromagnetic Systems for RF Applications","2017","","","","Undisclosed","Semiconductors & Electronics Communications Radio Frequency Industrial Technologies Electronic Manufacturing & Semiconductors +N Close"
"3QBD Non-Active","Bacterial Diagnostic Test","2000","B2B","1-10","Revenue Financed","Undisclosed","Medical Devices Life Sciences & HealthTech Providers Healthcare Diagnostics Healthcare & Life Sciences +N Close"
"3R Pharma","Ophthalmic Cannabis Solutions","2020","B2B","1-10","Seed","Undisclosed","Healthcare & Life Sciences Providers Pharma & Biomedicine Discovery & Development Biologicals Healthcare Herbals Life Sciences Life Sciences & HealthTech Pharmaceuticals Medical Cannabis +N Close"
"40Cloud Non-Active","Cloud Infrastructure Security Broker","2011","B2B","11-50","A","Undisclosed","Enterprises Cloud Security Web Platforms & Interfaces Enterprise & Professional Services Network & Infrastructure Security Data Storage Cyber Security Cloud Security Technologies Data Centers Software IT +N Close"
"40Mee Non-Active","Group Administration and Organization","2015","B2C","1-10","Bootstrapped","Undisclosed","Semiconductors & Electronics Communications Bluetooth Mobile Consumers Social Networks Platforms & Interfaces Content & Media Demographics & Family Parents Wearables Video Media & Entertainment Tech Children +N Close"
"40Nuggets","Lead-capture Automation for Websites","2011","B2B","11-50","Seed","$2.51M","Advertising Tech Software Marketing & Sales Advertising Retail & Marketing Optimization, Personalization & Testing Platforms & Interfaces Enterprise & Professional Services +N Close"
"42 GameChanger","Event-based Lead-generation Platform","2012","B2B","1-10","Revenue Financed","Undisclosed","Retail & Marketing Media & Entertainment Trade Shows Advertising Tech Mobile Marketing Automation & Lead Management Events Platforms & Interfaces +N Close"
"4c-Diagnostics Non-Active","Home Diagnostic Kit for GI Diseases","2016","B2C","1-10","Bootstrapped","Undisclosed","Patients Healthcare Digital Health Healthcare & Life Sciences Life Sciences & HealthTech Biologicals Providers Diagnostics +N Close"
"4Cast Acquired","Decision Support and Constructive Simulation Solutions","2018","B2B, B2G","51-200","Established","Undisclosed","Enterprise, IT & Data Infrastructure Augmented Reality Defense Business Intelligence Platforms Enterprise & Professional Services Data Analysis & Decision Support Virtual Reality Artificial Intelligence Healthcare Defense, Safety & Security Providers Military HR-tech Healthcare & Life Sciences Homeland Security  Simulation & Imaging Talent Development & Training Security +N Close"
"4DEntity Non-Active","Dynamically Changeable Biometric Passwords","2016","B2B","1-10","Bootstrapped","Undisclosed","Enterprise & Professional Services Sensing Security Technologies Cyber Security Biometrics Enterprises Identity Security Consumers +N Close"
"4Girls","Platform for Detecting Mental Distress","2000","B2B, B2C","1-10","Revenue Financed","Undisclosed","Artificial Intelligence Demographics & Family Women Digital Therapeutics Life Sciences & HealthTech Digital Health Natural Language Processing Machine Learning Consumers +N Close"
"4M Analytics","Subsurface-infrastructure Geo-data","2019","B2B, B2G","11-50","A","$18M","Machine Learning Utilities Computer Vision Energy, Utilities & Waste Management Artificial Intelligence Industrial Technologies Construction Real Estate & Construction Residential Commercial Simulation & Imaging Development Commercial Sensing Residential Construction Tech Infrastructure Technologies +N Close"
"4Med","Surgical Instruments and Medical Devices","1994","B2B, B2B2C","201-500","Established","Undisclosed","Aesthetic Devices Treatment & Therapeutics Medical Products Medical Equipment Distributor Materials & Substances Medical Devices Medical Devices Commerce & Retail Distribution Channels Life Sciences & HealthTech Healthcare & Life Sciences +N Close"
"4time Non-Active","Time-based Web Search","2016","B2B","1-10","Bootstrapped","Undisclosed","Enterprise & Professional Services Search Engine Platforms & Interfaces Enterprises Enterprise, IT & Data Infrastructure +N Close"
"5D-Sensing","CMOS Sensors for Smart Cameras","2018","B2B","1-10","Seed","Undisclosed","Industrial Technologies Chip Design Discrete Industries Electronic Manufacturing & Semiconductors Industrial Manufacturing Sensing Automotive Optic +N Close"
"5min Media Non-Active","A Syndication Platform for Lifestyle, Knowledge and Instructional Videos","2007","B2C","11-50","","$12.8M","Consumers Recreational & Lifestyle Platforms & Interfaces Video Media & Entertainment Tech Content & Media +N Close"
"5skills Non-Active","An Anonymous Profile Based on Skills that Finds your Next Job","2012","B2B, B2C","1-10","Seed","$30K","Consumers Media & Entertainment Tech Social Networks Job Seekers Content & Media Professionals & Gig Economy Enterprise & Professional Services Human Resource & Employment Services Platforms & Interfaces Software +N Close"
"634 AI","Industrial Mobility Technology","2019","B2B","11-50","Seed","Undisclosed","Warehousing Artificial Intelligence Machinery & Robotics Warehousing Logistics Glass Metal Fabrication ADAS Food & Beverages Resource Planning Telematics Packaging Computer Vision Plastics Rubber Real Time Visibility Digital Twin Manufacturing Facilities Sensors & Asset Tagging Industry 4.0 Transportation & Logistics Industrial Technologies Autonomous & Connected Onsite Safety Hybrid Industries Process Industries Deep Learning Driver & Passenger Safety Operation Optimization Discrete Industries AGVs Connected Vehicles Image Recognition Automotive Navigation Mobility Services Autonomous Vehicles Smart Mobility Machine Learning Pulp & Paper Mapping Fleet Management Simulation & Imaging Wood Industrial Manufacturing +N Close"
"6Degrees","Adaptive Hands-free Controller for Connected Devices","2017","B2B2C, B2C","1-10","Seed","$950K","Semiconductors & Electronics Wearables Disabilities Consumers Assistive Technologies Demographics & Family Healthcare & Life Sciences Digital Health Communications Life Sciences & HealthTech Sensing Healthcare Artificial Intelligence Patients Bluetooth +N Close"
"6over6 Acquired","Smartphone-based Optometric Tools","2014","B2B2C, B2C","11-50","Established","$15M","Machine Learning Diagnostics Glass Patients Artificial Intelligence Healthcare & Life Sciences Industrial Manufacturing Computer Vision Healthcare Life Sciences & HealthTech Process Industries Digital Health +N Close"
"6Scan Non-Active","Automated Website Protection","2011","B2B","1-10","A","$2.02M","Website Owners Consumers Software Enterprises Professionals & Gig Economy SMBs & SMEs Enterprise & Professional Services Platforms & Interfaces Security Technologies Cyber Security Application & Website Security +N Close"
"7 Elements Studios Non-Active","Mobile Gaming Platform","2010","B2C","11-50","A","$8M","Content & Media Mobile Consumers Gamers Recreational & Lifestyle Gaming Social Networks Platforms & Interfaces Media & Entertainment Tech +N Close"
"7:00PM","Emotional Intelligence Training for Children","2019","B2B, B2C","1-10","Pre-Seed","Undisclosed","Upskilling Platforms & Interfaces Pre-Kindergarten Content & Media Artificial Intelligence Demographics & Family Consumers Education K12 Education EdTech Mobile Software Children Parents +N Close"
"7Ci","Multi-cloud Incident Response","2020","B2B","1-10","Bootstrapped","Undisclosed","Cyber Security Security Technologies Enterprises Platforms & Interfaces Security Operations Enterprise & Professional Services Software +N Close"
"7Twenty","Cross-channel CRM Platform","2007","B2B, B2B2C","11-50","Revenue Financed","Undisclosed","Call Centers Data Analysis & Decision Support Enterprise & Professional Services Software Business Intelligence Platforms Platforms & Interfaces Artificial Intelligence Enterprise, IT & Data Infrastructure +N Close"
"888 Holdings Public","Online Gaming Solutions","1997","B2B, B2C","500+","Public","Undisclosed","Content & Media Media & Entertainment Media & Entertainment Tech Platforms & Interfaces Mobile Gaming Gaming Web Gaming +N Close"
"89bio Public","Treatment for Liver and Metabolic Disorders","2018","B2B","11-50","Public","$229M","Discovery & Development Healthcare & Life Sciences Biologicals Life Sciences Life Sciences & HealthTech Pharmaceuticals Pharma & Biomedicine +N Close"
"8Alert","Real-time Analytics for Traders","2013","B2C","1-10","Revenue Financed","Undisclosed","Trading Web Banks Software Artificial Intelligence Platforms & Interfaces Brokerage Trading & Investing Investment & Portfolio Management FinTech Data Analysis & Decision Support Financial Institutions Trading Platform Robo Advisory Mobile Financial Services Machine Learning Financial Products Enterprise, IT & Data Infrastructure Fund Management Data Storage +N Close"
"8fig","Custom, Flexible Growth Plan Platform for eCommerce Retailers","2020","B2B","11-50","A","$56.5M","Accounting Machine Learning Platforms & Interfaces Web Business Process Management Enterprise & Professional Services Enterprises Marketing & Sales Commerce & Retail SMBs & SMEs Distribution Channels Artificial Intelligence Enterprise, IT & Data Infrastructure eCommerce Platforms Financial Services Management Consulting Business Automation Optimization Research & Consulting Services +N Close"
"8th","Cross-platform Programming Language","2013","B2B, B2C","1-10","Revenue Financed","Undisclosed","Software Quality Assurance Enterprise & Professional Services Web Enterprise, IT & Data Infrastructure Product Development Tools Business Process Management Mobile Software Development Platforms & Interfaces Software Testing Software Development Productivity Tools +N Close"
"90sec Non-Active","Making Decision Fun","2013","B2B, B2C","1-10","Seed","$100K","Content & Media Social Networks Media & Entertainment Tech Media Platforms & Interfaces Social Media Media & Entertainment +N Close"
"A-muse Non-Active","Therapy Optimization Using Music and Technology","2013","B2B2C, B2C","1-10","Revenue Financed","Undisclosed","Disabilities Sensing Digital Health Motion Consumers Life Sciences & HealthTech Healthcare Providers Healthcare & Life Sciences Digital Therapeutics Demographics & Family Seniors +N Close"
"A.B.A Science Play","Experiential Playground Equipment","2009","B2B2C, B2G","1-10","Seed","Undisclosed","EdTech Consumers Gaming Materials & Substances Content & Media Media & Entertainment Tech Education Demographics & Family Children +N Close"
"A.G.E.R.","Platform for Analyzing Environmental Impacts on Assets","2019","B2B","1-10","Bootstrapped","Undisclosed","Management Consumers Commercial Financial Services Property Management Banks Artificial Intelligence Property Buyer Financial & Real Estate Real Estate Tech Real Estate & Construction Residential Financial Institutions Platforms & Interfaces FinTech Insurance Financial Products Private Investors Mobile +N Close"
"A.P.T. Advanced Power Technology","High and Low Voltage Power Conversion Systems","1985","B2B, B2G","1-10","Revenue Financed","Undisclosed","Defense, Safety & Security Electronic Manufacturing & Semiconductors Military Industrial Technologies Defense +N Close"
"A.Team","On-demand Team Formation Platform","2020","B2B, B2C","11-50","A","$60M","Enterprise, IT & Data Infrastructure Talent Sourcing, Recruiting & Onboarding Software Development Human Resource & Employment Services HR-tech Content & Media Media & Entertainment Tech Freelancers Social Networks Web Platforms & Interfaces Professionals & Gig Economy SMBs & SMEs Consumers Enterprise & Professional Services +N Close"
"A.Z. Smartlend Non-Active","Financial Decision-making Tools","2016","B2B","1-10","Bootstrapped","Undisclosed","Financial & Real Estate Micro Financing FinTech Lending & Financing Platforms & Interfaces Consumers Web +N Close"
"A2 Vision Technologies","Lens Molds for Ophthalmic Manufacturers","2008","B2B","1-10","Revenue Financed","Undisclosed","Materials Software Medical Devices Platforms & Interfaces Industrial Technologies Healthcare & Life Sciences +N Close"
"A2i Therapeutics","Novel Small-molecule Immuno-oncology Agents","2020","B2B","1-10","Seed","Undisclosed","Pharmaceuticals Discovery & Development Life Sciences & HealthTech Pharma & Biomedicine Healthcare & Life Sciences Life Sciences Biologicals Molecules +N Close"
"A2Z Advanced Solutions Public","Remote-controlled Unmanned Vehicles","1988","B2B, B2G","1-10","Public","$10.91M","Safety Online Platform & Carts Defense Public Security Energy Storage Energy-tech Military Retail & Marketing Retail Digitalization eCommerce & Sales Security Technologies AGVs Fire & Rescue Defense, Safety & Security Security Automotive Machinery & Robotics Emergency Response Homeland Security  Industrial Manufacturing Discrete Industries +N Close"
"Aadly Non-Active","Marketplace for Local Offline Advertising","2017","B2B","1-10","Bootstrapped","Undisclosed","Marketing & Sales Platforms & Interfaces SMBs & SMEs Enterprise & Professional Services Content Marketing Advertising Web Media & Entertainment Advertising Tech Enterprises Publishing Retail & Marketing +N Close"
"AB Dental Devices","Dental Implant Technology","1990","B2B","11-50","Established","Undisclosed","Digital Health Decision Support Healthcare & Life Sciences Web Materials & Substances Life Sciences & HealthTech Providers Platforms & Interfaces Healthcare +N Close"
"AbaGada Acquired","Performance Marketing Platform","2010","B2B","11-50","Established","Undisclosed","Social Media Marketing Customer Service, Success, Experience Platforms & Interfaces Enterprise & Professional Services Search Engine Optimization, Personalization & Testing Advertising Tech Digital Asset Management eCommerce & Sales Retail & Marketing Web Consumer Goods Mobile Social Commerce Commerce & Retail Enterprises +N Close"
"abbey.uno Non-Active","Predicting the Behavior of Pedestrians in Real-time","2017","B2B, B2C","1-10","Bootstrapped","Undisclosed","Software Drivers Autonomous & Connected Smart Mobility Transportation & Mobility Driver & Passenger Safety Platforms & Interfaces Consumers +N Close"
"Abbi Non-Active","Automated In-app Marketing","2015","B2B","1-10","Seed","$700K","Advertising Tech Mobile Enterprise, IT & Data Infrastructure Platforms & Interfaces Marketing Automation & Lead Management Optimization, Personalization & Testing Retail & Marketing Mobile Advertising Enterprise & Professional Services Data Visualization & Dashboards eCommerce & Sales Artificial Intelligence Software Development Machine Learning Mobile Software Development Data Analysis & Decision Support Customer Service, Success, Experience +N Close"
"Abe's Market Non-Active","Marketplace for Natural Products","2008","B2B2C","11-50","B","$19.15M","Wholesale eCommerce & Sales Retail & Marketing Food Retail & Consumption Web Platforms & Interfaces Online Platform & Carts Foodies Recreational & Lifestyle Consumers +N Close"
"AbiliSense","Smart Listening Technology for IoT Devices","2015","B2B, B2B2C, B2G","11-50","Seed","$800K","Financial & Real Estate Life Sciences & HealthTech Assistive Technologies IOT Security Tenants & Landlords Safety Enterprise & Professional Services Communications Public Security Call Centers Digital Health Defense, Safety & Security Security Technologies Seniors Babies Emergency Response Personal Protection Mobile Machine Learning Demographics & Family Artificial Intelligence Voice & Speech Recognition Consumers Platforms & Interfaces +N Close"
"Ability Public","Cellular and Satellite Interception and Decryption Solutions","1994","B2G","1-10","Public","Undisclosed","Law Enforcement  Security Cyber Security Security Technologies Homeland Security  Defense Transportation & Logistics Encryption Defense, Safety & Security Physical Security Cryptography Satellites Geolocation Military Surveillance Detection Systems Communications Transportation Infrastructure Airports Sensing +N Close"
"ABonAir","Wireless HD Video Broadcasting Solutions","2008","B2B","11-50","Revenue Financed","Undisclosed","Communications Streaming Media & Entertainment Enterprise & Professional Services Content Production Industrial Technologies Electronic Manufacturing & Semiconductors +N Close"
"ABraCadabra Implants","Implant Prosthetic Systems","2010","B2B, B2C","1-10","A","Undisclosed","Treatment & Therapeutics Healthcare Healthcare & Life Sciences Implants Providers Medical Devices Patients Materials & Substances Life Sciences & HealthTech +N Close"
